classcode,scientificname ,shape,missingdimension,formulaformissingdimension,hd,formulaforbiovolume,formulaforsurface,formulaforweight1,formulaforweight2,missingdimensionsimplified,formulaformissingdimensionsimplified,formulaforbiovolumesimplified,formulaforsurfacesimplified,measurementremarks,mostlk
24,Amphora,cymbelloid,c,hd*a,0.42906015,(2/3)*a*(c^2)*asin(b/(2*c)),((pi/2)*a*c)+(b*(c+((a^2)/(2*(sqrt(a^2-4*c^2))))*asin((sqrt(a^2-4*c^2))/a))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(2/3)*length*(c^2)*asin(width/(2*c)),((pi/2)*length*c)+(width*(c+((length^2)/(2*(sqrt(length^2-4*c^2))))*asin((sqrt(length^2-4*c^2))/length))),frontal,y
25,Cocconeis,prism on elliptic base,c,hd*a,0.211921354,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
26,Cocconeis scutellum,prism on elliptic base,c,hd*a,0.211921354,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
27,Licmophora,gomphonemoid,b,hd*h,0.195793477,((h*b)/4*((h+(((pi/4)-1)*b)))*asin((c/(2*h)))),(b/2)*((2*h)+(pi*h*(asin(c/(2*h))))+(((pi/2)-2)*b)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,((length*b)/4*((length+(((pi/4)-1)*b)))*asin((width/(2*length)))),(b/2)*((2*length)+(pi*length*(asin(width/(2*length))))+(((pi/2)-2)*b)),girdle,y
28,Licmophora flabellata,gomphonemoid,b,hd*h,0.195793477,((h*b)/4*((h+(((pi/4)-1)*b)))*asin((c/(2*h)))),(b/2)*((2*h)+(pi*h*(asin(c/(2*h))))+(((pi/2)-2)*b)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,((length*b)/4*((length+(((pi/4)-1)*b)))*asin((width/(2*length)))),(b/2)*((2*length)+(pi*length*(asin(width/(2*length))))+(((pi/2)-2)*b)),girdle,y
29,Licmophora gracilis,gomphonemoid,b,hd*h,0.195793477,((h*b)/4*((h+(((pi/4)-1)*b)))*asin((c/(2*h)))),(b/2)*((2*h)+(pi*h*(asin(c/(2*h))))+(((pi/2)-2)*b)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,((length*b)/4*((length+(((pi/4)-1)*b)))*asin((width/(2*length)))),(b/2)*((2*length)+(pi*length*(asin(width/(2*length))))+(((pi/2)-2)*b)),girdle,y
30,Chaetoceros,prism on elliptic base,c,hd*a,1.27587564,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,n
31,Chaetoceros,prism on elliptic base,b,hd*a,0.772284534,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
32,Chaetoceros anastomosans,prism on elliptic base,b,hd*a,0.772284534,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
33,Chaetoceros curvisetus,prism on elliptic base,b,hd*a,0.517777778,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
34,Chaetoceros decipiens,prism on elliptic base,b,hd*a,0.771774892,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
35,Chaetoceros laevis,prism on elliptic base,b,hd*a,0.772284534,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
36,Chaetoceros simplex,prism on elliptic base,b,hd*a,0.834649952,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
37,Chaetoceros teres,prism on elliptic base,b,hd*a,0.853571429,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
38,Chaetoceros throndsenii,prism on elliptic base,b,hd*a,0.95,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
39,Chaetoceros wighamii,prism on elliptic base,b,hd*a,0.752528537,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
40,Amphidinium,ellipsoid,c,hd*h,0.471237639,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
41,Amphidinium carterae,ellipsoid,c,hd*h,0.317647059,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
45,Gyrodinium,ellipsoid,c,hd*h,0.449694274,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
46,Gymnodinium opressum,ellipsoid,c,hd*h,0.449523325,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
49,Amphidinium acutissimum,ellipsoid,c,hd*h,0.471237639,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
50,Protoperidinium,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
54,Scrippsiella trochoidea,ellipsoid,c,hd*h,0.922222222,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
55,Prorocentrum,ellipsoid,c,hd*h,0.348333333,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
56,Prorocentrum lima,ellipsoid,c,hd*h,0.466666667,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
57,Prorocentrum cordatum,ellipsoid,c,hd*h,0.228,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
58,Prorocentrum micans,cone+half sphere,no,no,,(pi/4)*h*d^2,(pi/2)*d*(d+(sqrt(((2*h^2)-(h*d)+(d^2))/2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*length*width^2,(pi/2)*width*(width+(sqrt(((2*length^2)-(length*width)+(width^2))/2))),frontal,y
59,Prorocentrum scutellum,ellipsoid,c,hd*h,0.348333333,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
60,Navicula transitans,prism on elliptic base,c,hd*a,0.171428571,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
61,Pleurosigma,prism on parallelogram base,c,hd*a,0.01604103,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(1/2)*length*width*c,((length*width)+((sqrt((length^2)+(width^2)))/4)*c),valvar,y
62,Cerataulina,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
63,Cerataulina pelagica,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
64,Cymbella,cymbelloid,c,hd*a,0.229166667,(2/3)*a*(c^2)*asin(b/(2*c)),((pi/2)*a*c)+(b*(c+((a^2)/(2*(sqrt(a^2-4*c^2))))*asin((sqrt(a^2-4*c^2))/a))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(2/3)*length*(c^2)*asin(width/(2*c)),((pi/2)*length*c)+(width*(c+((length^2)/(2*(sqrt(length^2-4*c^2)))*asin((sqrt(length^2-4*c^2))/length))),valvar,y
69,Striatella unipunctata,prism on elliptic base,b,hd*a,0.165714286,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
70,Pseudo-nitzschia,prism on parallelogram base,b,hd*a,0.069417623,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(1/2)*length*b*width,((length*b)+((sqrt((length^2)+(b^2)))/4)*width),girdle,y
79,Nitzschia longissima,prism on parallelogram base,c,hd*a,0.190654762,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(1/2)*length*width*c,((length*width)+((sqrt((length^2)+(width^2)))/4)*c),valvar,y
80,Rhabdolithes claviger,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
81,Rhabdosphaera tignifer,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
82,Rhabdosphaera,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
83,Syracosphaera pulchra,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
84,Calyptrosphaera,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
85,Syracosphaera,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
87,Lohmannosphaera,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
90,Phaeocystis,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
91,Phaeocystis pouchetii,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
92,Pyramimonas,cone,no,no,,(pi/12)*h*(d^2),(pi/4)*d*(d+(sqrt(4*h^2+d^2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*(width^2),(pi/4)*width*(width+(sqrt(4*length^2+width^2))),frontal,y
93,Tetraselmis,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
95,Euglenophyceae,half ellipsoid+cone on elliptic base,c,hd*(h+h1),0.087037037,((pi/12)*b*c)*(h1+h),NA,0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*(h+h1),((pi/12)*width*c)*(((length-(length/3))+length/3)),NA,frontal,y
96,Euglena,half ellipsoid+cone on elliptic base,c,hd*(h+h1),0.087037037,((pi/12)*b*c)*(h1+h),NA,0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*(h+h1),((pi/12)*width*c)*(((length-(length/3))+length/3)),NA,frontal,y
97,Eutreptia,cylinder+cone,no,no,,((pi/4)*h*(d^2))+((pi/12)*h1(d1^2)),pi*d*((d/4)+h+(1/4)*(sqrt(d^2+4*h^2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
98,Merismopedia ,cube,no,no,,a^3,6*a^2,0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,length^3,6*length^2,unique,y
99,Ollicola vangoorii,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
100,Spirulina,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
110,Leucocryptos marina,cone+half sphere,no,no,,(pi/4)*h*d^2,(pi/2)*d*(d+(sqrt(((2*h^2)-(h*d)+(d^2))/2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*length*width^2,(pi/2)*width*(width+(sqrt(((2*length^2)-(length*width)+(width^2))/2))),frontal,y
120,Plagioselmis prolonga,cone+half sphere,no,no,,(pi/4)*h*d^2,(pi/2)*d*(d+(sqrt(((2*h^2)-(h*d)+(d^2))/2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*length*width^2,(pi/2)*width*(width+(sqrt(((2*length^2)-(length*width)+(width^2))/2))),frontal,y
130,Plagioselmis,cone+half sphere,no,no,,(pi/4)*h*d^2,(pi/2)*d*(d+(sqrt(((2*h^2)-(h*d)+(d^2))/2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*length*width^2,(pi/2)*width*(width+(sqrt(((2*length^2)-(length*width)+(width^2))/2))),frontal,y
131,Rhodomonas ,cone+half sphere,no,no,,(pi/4)*h*d^2,(pi/2)*d*(d+(sqrt(((2*h^2)-(h*d)+(d^2))/2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*length*width^2,(pi/2)*width*(width+(sqrt(((2*length^2)-(length*width)+(width^2))/2))),unique,y
140,Cryptomonas,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
160,Snowella lacustris,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
180,Pseudopediastrum boryanum,prism on elliptic base,c,hd*a,0.231287243,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),girdle,y
200,Asterionellopsis glacialis,prism on tringular base2,b,hd*a,0.594713871,(((sqrt(3))/4)*b*(a^2)),(3*a*b)+(((sqrt(3))/2)*(a^2)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
201,Asterionellopsis glacialis,prism on tringular base2,no,no,,(((sqrt(3))/4)*b*(a^2)),(3*a*b)+(((sqrt(3))/2)*(a^2)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,n
205,Bleakeleya notata,prism on elliptic base+parallelepiped,c,hd*(a+a1),,c*((a1*b1)+((pi/4)*a*b)),c*((2*a1)+b1+((pi/2)*a)+((pi/2)*b))+(2*a1*b1)+((pi/2)*a*b),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
206,Bleakeleya notata,prism on elliptic base+parallelepiped,b,hd*(a+a1),0.10583,c*((a1*b1)+((pi/4)*a*b)),c*((2*a1)+b1+((pi/2)*a)+((pi/2)*b))+(2*a1*b1)+((pi/2)*a*b),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,n
208,Asterionella formosa,parallelepiped+2 cylinder,see note,see note,,(a*b*c)+((pi/4)*(d1^2)*c)+((pi/4)*(d^2)*c),2*(a*b)+2*(a*c)-2*(b*c)+(pi*d1*(d1/2+c))+(pi*d2*(d2/2+c)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
209,Asterionella,parallelepiped+2 cylinder,see note,see note,,(a*b*c)+((pi/4)*(d1^2)*c)+((pi/4)*(d^2)*c),2*(a*b)+2*(a*c)-2*(b*c)+(pi*d1*(d1/2+c))+(pi*d2*(d2/2+c)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,n
210,Thalassiosiraceae,cylinder,h,hd*d,0.556084548,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,L,hd*width,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,n
211,Thalassiosiraceae,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(length^2)*width,pi*length*((length/2)+width),girdle,y
212,Thalassiosira,cylinder,h,hd*d,0.556084548,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,L,hd*width,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,n
213,Thalassiosira,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(length^2)*width,pi*length*((length/2)+width),girdle,y
