source_folder,base_image,docker_image_name,image_size,package_extraction,dependency_installation,dockerfile_generated,executable,dockergeneration-time-real,dockergeneration-time-user,dockergeneration-time-sys,detected_dependencies,installed_dependencies,ms-base-image,minimal-set,advanced-dependencies,extended-base,code-inspection-time,overall-time,execution-error,dockerfile-error,error-label
rdb/size-density,jupyr-base,size-density,2505685746,renv,cran-only-source,1,1,0m9.357s,0m0.112s,0m0.093s,2,1,1,0,0,0,15.408850908279419,31.751386880874634,-,-,
rdb/size-density,rapt-base,size-density,678963753,renv,spm-only-binary,1,1,0m19.064s,0m0.136s,0m0.108s,2,2,1,0,0,0,16.708526134490967,42.86875581741333,-,-,
rdb/size-density,rver-base,size-density,914695260,renv,rspm-only-binary,1,1,0m53.349s,0m0.194s,0m0.155s,2,2,1,0,0,0,13.923112869262695,74.96510314941406,-,-,
rdb/traits-computation,jupyr-base,traits-computation,2505463553,renv,cran-only-source,1,1,0m3.116s,0m0.119s,0m0.091s,0,0,1,0,0,0,7.652764081954956,20.771674871444702,-,-,
rdb/traits-computation,rapt-base,traits-computation,661960374,renv,spm-only-binary,1,1,0m2.621s,0m0.128s,0m0.100s,0,0,1,0,0,0,8.101731061935425,20.502899169921875,-,-,
rdb/traits-computation,rver-base,traits-computation,860095508,renv,rspm-only-binary,1,1,0m2.496s,0m0.135s,0m0.088s,0,0,1,0,0,0,7.26591420173645,21.054853916168213,-,-,

rdb/applied-pred-12.2,rocker/r-ver:4.1.1,applied-pred-12.2,1069075078,renv,rspm-only-binary,1,0,4m2.119s,0m0.402s,0m0.305s,5,8,1,0,0,0,30.576361894607544,288.7970049381256,"\nPrevalence 0\r\nDetection Rate 0\r\nDetection Prevalence 0\r\nBalanced Accuracy NA\r\nError: Required packages are missing: pls\r\nExecution halted\r\n""",-,HIDDEN_DEP
rdb/applied-pred-12.2,rver-base,applied-pred-12.2,1069143478,renv,rspm-only-binary,1,0,2m56.502s,0m0.350s,0m0.259s,5,8,1,0,0,0,25.318565130233765,217.35339188575745,"\nPrevalence 0\r\nDetection Rate 0\r\nDetection Prevalence 0\r\nBalanced Accuracy NA\r\nError: Required packages are missing: pls\r\nExecution halted\r\n""",-,HIDDEN_DEP
rdb/applied-pred-12.2,rver-base,applied-pred-12.2,1078797452,renv,rspm-only-binary,1,1,2m55.045s,0m0.362s,0m0.263s,5,10,1,0,1,0,30.634498119354248,634.0750257968903,-,-,
rdb/applied-pred-12.1-chem,rver-base,applied-pred-12.1-chem,1069143318,renv,rspm-only-binary,1,0,3m23.649s,0m0.388s,0m0.287s,5,8,1,0,0,0,26.69722008705139,255.23830008506775,".01449\r\nDetection Prevalence 0.4783 0.3188 0.20290\r\nBalanced Accuracy 0.6098 0.6145 0.46659\r\nError: Required packages are missing: pls\r\nExecution halted\r\n""",-,RUNTIME_ERROR
rdb/applied-pred-12.1-chem,rver-base,applied-pred-12.1-chem,1078797292,renv,rspm-only-binary,1,1,2m18.800s,0m0.370s,0m0.255s,5,10,1,0,1,0,35.54671287536621,652.8448390960693,-,-,
rdb/applied-pred-12.1-chem,rver-base,applied-pred-12.1-chem,1078797292,renv,rspm-only-binary,1,1,2m35.227s,0m0.333s,0m0.254s,5,10,1,0,1,0,30.643195152282715,265.1387960910797,-,-,

rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1052531689,renv,rspm-only-binary,1,1,2m31.026s,0m0.324s,0m0.237s,4,7,1,0,0,0,21.788689136505127,188.61809515953064,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1052531689,renv,rspm-only-binary,1,1,1m49.711s,0m0.286s,0m0.210s,4,7,1,0,0,0,20.104833126068115,147.98277688026428,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1052531689,renv,rspm-only-binary,1,1,2m19.468s,0m0.316s,0m0.230s,4,7,1,0,0,0,22.8439302444458,183.28200697898865,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1052531689,renv,rspm-only-binary,1,1,1m37.388s,0m0.287s,0m0.208s,4,7,1,0,0,0,22.40450882911682,136.9630126953125,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1052531689,renv,rspm-only-binary,1,1,2m11.200s,0m0.314s,0m0.228s,4,7,1,0,0,0,21.0906720161438,167.64248514175415,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1052531689,renv,rspm-only-binary,1,1,1m32.629s,0m0.288s,0m0.205s,4,7,1,0,0,0,20.428630113601685,129.8418083190918,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1062185663,renv,rspm-only-binary,1,1,2m27.947s,0m0.319s,0m0.245s,4,9,1,0,1,0,23.14811682701111,186.5275387763977,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1062185663,renv,rspm-only-binary,1,1,2m28.858s,0m0.307s,0m0.217s,4,9,1,0,1,0,24.724590063095093,189.66547989845276,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1062185663,renv,rspm-only-binary,1,1,2m35.782s,0m0.314s,0m0.232s,4,9,1,0,1,0,27.431596040725708,199.85057997703552,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1062185663,renv,rspm-only-binary,1,1,1m48.996s,0m0.288s,0m0.211s,4,9,1,0,1,0,28.411747217178345,153.27449798583984,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1062185663,renv,rspm-only-binary,1,1,2m9.483s,0m0.308s,0m0.222s,4,9,1,0,1,0,25.583628177642822,170.23787689208984,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1062185663,renv,rspm-only-binary,1,1,1m53.903s,0m0.297s,0m0.225s,4,9,1,0,1,0,24.577682971954346,152.68146586418152,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1067163554,renv,rspm-only-binary,1,1,3m30.441s,0m0.370s,0m0.293s,6,9,1,0,0,0,27.018803119659424,370.0918529033661,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1067163554,renv,rspm-only-binary,1,1,2m55.769s,0m0.351s,0m0.258s,6,9,1,0,0,0,25.249568939208984,330.2732391357422,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1067163554,renv,rspm-only-binary,1,1,2m47.343s,0m0.340s,0m0.258s,6,9,1,0,0,0,26.060821294784546,322.6300480365753,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1067163554,renv,rspm-only-binary,1,1,2m41.412s,0m0.336s,0m0.242s,6,9,1,0,0,0,25.92395806312561,315.5217237472534,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1067163554,renv,rspm-only-binary,1,1,2m30.210s,0m0.331s,0m0.238s,6,9,1,0,0,0,25.935844898223877,305.8676788806915,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1067163554,renv,rspm-only-binary,1,1,2m50.388s,0m0.350s,0m0.271s,6,9,1,0,0,0,25.365959882736206,322.9962019920349,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1074152710,renv,rspm-only-binary,1,1,2m48.205s,0m0.350s,0m0.266s,6,10,1,0,1,0,26.7952299118042,321.9459388256073,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1074152710,renv,rspm-only-binary,1,1,2m44.379s,0m0.343s,0m0.267s,6,10,1,0,1,0,28.430766105651855,319.7749500274658,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1074152710,renv,rspm-only-binary,1,1,2m43.768s,0m0.340s,0m0.253s,6,10,1,0,1,0,27.64608073234558,320.87415289878845,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1074152710,renv,rspm-only-binary,1,1,2m53.032s,0m0.361s,0m0.264s,6,10,1,0,1,0,26.559417963027954,327.1807539463043,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1074152710,renv,rspm-only-binary,1,1,2m43.785s,0m0.342s,0m0.264s,6,10,1,0,1,0,27.415114879608154,320.31883120536804,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1074152710,renv,rspm-only-binary,1,1,2m47.297s,0m0.358s,0m0.268s,6,10,1,0,1,0,27.123300790786743,328.3552041053772,-,-,
rdb/applied-pred-6.2,rver-base,applied-pred-6.2,1067162815,renv,rspm-only-binary,1,1,2m37.875s,0m0.356s,0m0.272s,6,9,1,0,0,0,25.559481143951416,197.19868898391724,-,-,
rdb/applied-pred-6.2,rver-base,applied-pred-6.2,1067162815,renv,rspm-only-binary,1,1,1m50.389s,0m0.305s,0m0.224s,6,9,1,0,0,0,25.85233736038208,149.2641372680664,-,-,
rdb/applied-pred-6.2,rver-base,applied-pred-6.2,1067162815,renv,rspm-only-binary,1,1,2m37.626s,0m0.351s,0m0.243s,6,9,1,0,0,0,26.422152996063232,197.24497604370117,-,-,
rdb/applied-pred-6.2,rver-base,applied-pred-6.2,1067162815,renv,rspm-only-binary,1,1,1m54.159s,0m0.311s,0m0.227s,6,9,1,0,0,0,26.416586875915527,153.7526068687439,-,-,
rdb/applied-pred-6.2,rver-base,applied-pred-6.2,1067162815,renv,rspm-only-binary,1,1,2m38.372s,0m0.335s,0m0.248s,6,9,1,0,0,0,25.82246494293213,197.7533860206604,-,-,
rdb/applied-pred-6.2,rver-base,applied-pred-6.2,1067162815,renv,rspm-only-binary,1,1,1m51.777s,0m0.309s,0m0.227s,6,9,1,0,0,0,26.927659034729004,151.53680515289307,-,-,
rdb/applied-pred-6.2,rver-base,applied-pred-6.2,1074151971,renv,rspm-only-binary,1,1,1m51.354s,0m0.310s,0m0.231s,6,10,1,0,1,0,27.043092012405396,151.01219987869263,-,-,
rdb/applied-pred-6.2,rver-base,applied-pred-6.2,1074151971,renv,rspm-only-binary,1,1,2m41.526s,0m0.348s,0m0.259s,6,10,1,0,1,0,27.029688119888306,202.5957019329071,-,-,
rdb/applied-pred-6.2,rver-base,applied-pred-6.2,1074151971,renv,rspm-only-binary,1,1,2m54.938s,0m0.353s,0m0.260s,6,10,1,0,1,0,27.869833946228027,215.65936517715454,-,-,
rdb/applied-pred-6.2,rver-base,applied-pred-6.2,1074151971,renv,rspm-only-binary,1,1,2m3.068s,0m0.328s,0m0.237s,6,10,1,0,1,0,26.674710035324097,163.34869384765625,-,-,
rdb/applied-pred-6.2,rver-base,applied-pred-6.2,1074151971,renv,rspm-only-binary,1,1,2m41.814s,0m0.342s,0m0.254s,6,10,1,0,1,0,27.67315101623535,202.17933297157288,-,-,
rdb/applied-pred-6.2,rver-base,applied-pred-6.2,1074151971,renv,rspm-only-binary,1,1,1m57.184s,0m0.330s,0m0.240s,6,10,1,0,1,0,26.718870162963867,156.85543608665466,-,-,
rdb/draw-flowers,rver-base,draw-flowers,937646084,renv,rspm-only-binary,1,1,1m10.551s,0m0.186s,0m0.130s,1,4,1,0,0,0,9.00667691230774,85.35843300819397,-,-,
rdb/draw-flowers,rver-base,draw-flowers,937646084,renv,rspm-only-binary,1,1,0m49.219s,0m0.182s,0m0.116s,1,4,1,0,0,0,8.836391925811768,63.70188903808594,-,-,
rdb/draw-flowers,rver-base,draw-flowers,937646084,renv,rspm-only-binary,1,1,0m46.002s,0m0.170s,0m0.104s,1,4,1,0,0,0,8.860248804092407,60.5972421169281,-,-,
rdb/draw-flowers,rver-base,draw-flowers,937646084,renv,rspm-only-binary,1,1,0m55.642s,0m0.175s,0m0.122s,1,4,1,0,0,0,8.96291995048523,70.33590602874756,-,-,
rdb/draw-flowers,rver-base,draw-flowers,937646084,renv,rspm-only-binary,1,1,0m46.046s,0m0.167s,0m0.115s,1,4,1,0,0,0,8.963500022888184,60.651564836502075,-,-,
rdb/draw-flowers,rver-base,draw-flowers,937646084,renv,rspm-only-binary,1,1,0m59.061s,0m0.187s,0m0.132s,1,4,1,0,0,0,8.849431991577148,73.55547213554382,-,-,
rdb/draw-flowers,rver-base,draw-flowers,937646084,renv,rspm-only-binary,1,1,0m49.242s,0m0.171s,0m0.119s,1,4,1,0,1,0,9.051160097122192,65.20243310928345,-,-,
rdb/draw-flowers,rver-base,draw-flowers,937646084,renv,rspm-only-binary,1,1,0m46.590s,0m0.180s,0m0.123s,1,4,1,0,1,0,8.899749994277954,61.8725700378418,-,-,
rdb/draw-flowers,rver-base,draw-flowers,937646084,renv,rspm-only-binary,1,1,0m47.530s,0m0.176s,0m0.117s,1,4,1,0,1,0,8.967832088470459,62.293604135513306,-,-,
rdb/draw-flowers,rver-base,draw-flowers,937646084,renv,rspm-only-binary,1,1,0m48.162s,0m0.186s,0m0.126s,1,4,1,0,1,0,8.97968602180481,62.7825129032135,-,-,
rdb/draw-flowers,rver-base,draw-flowers,937646084,renv,rspm-only-binary,1,1,1m0.011s,0m0.202s,0m0.132s,1,4,1,0,1,0,9.041830062866211,74.69732809066772,-,-,
rdb/draw-flowers,rver-base,draw-flowers,937646084,renv,rspm-only-binary,1,1,0m49.826s,0m0.190s,0m0.117s,1,4,1,0,1,0,8.8387770652771,64.45992708206177,-,-,
rdb/us-500,rver-base,us-500,1006016211,renv,rspm-only-binary,1,1,1m20.770s,0m0.216s,0m0.158s,4,7,1,0,0,0,18.545948028564453,105.48922204971313,-,-,
rdb/us-500,rver-base,us-500,1006016211,renv,rspm-only-binary,1,1,1m10.726s,0m0.215s,0m0.156s,4,7,1,0,0,0,18.89808487892151,95.48147106170654,-,-,
rdb/us-500,rver-base,us-500,1006016211,renv,rspm-only-binary,1,1,1m21.125s,0m0.256s,0m0.173s,4,7,1,0,0,0,18.634871006011963,105.67609524726868,-,-,
rdb/us-500,rver-base,us-500,1006016211,renv,rspm-only-binary,1,1,1m25.453s,0m0.222s,0m0.158s,4,7,1,0,0,0,18.43635106086731,109.70087099075317,-,-,
rdb/us-500,rver-base,us-500,1006016211,renv,rspm-only-binary,1,1,1m13.918s,0m0.226s,0m0.166s,4,7,1,0,0,0,19.659199953079224,99.51583528518677,-,-,
rdb/us-500,rver-base,us-500,1006016211,renv,rspm-only-binary,1,1,1m23.782s,0m0.218s,0m0.161s,4,7,1,0,0,0,18.566897869110107,108.2813880443573,-,-,
rdb/us-500,rver-base,us-500,1006016211,renv,rspm-only-binary,1,1,1m34.289s,0m0.226s,0m0.161s,4,7,1,0,1,0,18.270178079605103,118.48721599578857,-,-,
rdb/us-500,rver-base,us-500,1006016211,renv,rspm-only-binary,1,1,1m22.668s,0m0.225s,0m0.168s,4,7,1,0,1,0,18.956459045410156,107.50061869621277,-,-,
rdb/us-500,rver-base,us-500,1006016211,renv,rspm-only-binary,1,1,1m11.703s,0m0.221s,0m0.158s,4,7,1,0,1,0,18.59062910079956,96.39219498634338,-,-,
rdb/us-500,rver-base,us-500,1006016211,renv,rspm-only-binary,1,1,1m27.202s,0m0.221s,0m0.154s,4,7,1,0,1,0,19.489578008651733,112.35694789886475,-,-,
rdb/us-500,rver-base,us-500,1006016211,renv,rspm-only-binary,1,1,1m16.520s,0m0.221s,0m0.155s,4,7,1,0,1,0,19.22127389907837,101.50504899024963,-,-,
rdb/us-500,rver-base,us-500,1006016211,renv,rspm-only-binary,1,1,1m29.282s,0m0.215s,0m0.149s,4,7,1,0,1,0,18.399034023284912,113.53926205635071,-,-,

rdb/us-500,jupyter/r-notebook:70178b8e48d7,us-500,2502990016,renv,cran-only-source,1,1,0m19.013s,0m0.132s,0m0.091s,4,7,0,1,0,0,29.08935570716858,55.580185890197754,-,-,
rdb/us-500,jupyr-base,us-500,2505452053,renv,cran-only-source,1,1,0m2.297s,0m0.116s,0m0.055s,4,7,0,1,0,0,27.005444049835205,35.67994809150696,-,-,

rdb/community-indeces,rocker/r-apt:bionic,community-indeces,-,renv,spm-only-binary,0,0,-,-,-,1,4,0,0,0,0,2.057159900665283,19.13845705986023,-,"b'Sending build context to Docker daemon  8.869MB\r\r\nStep 1/5 : FROM rocker/r-apt:bionic\n ---> 6df37aecb465\nStep 2/5 : USER root\n ---> Running in ca1705d8edaa\nRemoving intermediate container ca1705d8edaa\n ---> 50f2c2d6240e\nStep 3/5 : RUN apt-get update &&     apt-get install -y -qq \t\tr-cran-vegan \t\tr-cran-NCmisc \t\tr-cran-optparse \t\tr-cran-jsonlite\n ---> Running in 450906388e9e\nGet:1 http://ppa.launchpad.net/marutter/c2d4u3.5/ubuntu bionic InRelease [15.4 kB]\nGet:2 http://security.ubuntu.com/ubuntu bionic-security InRelease [88.7 kB]\nGet:3 http://ppa.launchpad.net/marutter/rrutter3.5/ubuntu bionic InRelease [15.4 kB]\nGet:4 http://archive.ubuntu.com/ubuntu bionic InRelease [242 kB]\nGet:5 http://ppa.launchpad.net/marutter/c2d4u3.5/ubuntu bionic/main Sources [2,367 kB]\nGet:6 http://archive.ubuntu.com/ubuntu bionic-updates InRelease [88.7 kB]\nGet:7 http://archive.ubuntu.com/ubuntu bionic-backports InRelease [83.3 kB]\nGet:8 http://ppa.launchpad.net/marutter/c2d4u3.5/ubuntu bionic/main amd64 Packages [1,166 kB]\nGet:9 http://ppa.launchpad.net/marutter/rrutter3.5/ubuntu bionic/main Sources [9,741 B]\nGet:10 http://ppa.launchpad.net/marutter/rrutter3.5/ubuntu bionic/main amd64 Packages [8,449 B]\nGet:11 http://security.ubuntu.com/ubuntu bionic-security/universe amd64 Packages [1,631 kB]\nGet:12 http://archive.ubuntu.com/ubuntu bionic/multiverse amd64 Packages [186 kB]\nGet:13 http://archive.ubuntu.com/ubuntu bionic/main amd64 Packages [1,344 kB]\nGet:14 http://archive.ubuntu.com/ubuntu bionic/universe amd64 Packages [11.3 MB]\nGet:15 http://security.ubuntu.com/ubuntu bionic-security/restricted amd64 Packages [1,668 kB]\nGet:16 http://security.ubuntu.com/ubuntu bionic-security/multiverse amd64 Packages [23.8 kB]\nGet:17 http://security.ubuntu.com/ubuntu bionic-security/main amd64 Packages [3,358 kB]\nGet:18 http://archive.ubuntu.com/ubuntu bionic/restricted amd64 Packages [13.5 kB]\nGet:19 http://archive.ubuntu.com/ubuntu bionic-updates/main amd64 Packages [3,771 kB]\nGet:20 http://archive.ubuntu.com/ubuntu bionic-updates/multiverse amd64 Packages [30.8 kB]\nGet:21 http://archive.ubuntu.com/ubuntu bionic-updates/restricted amd64 Packages [1,709 kB]\nGet:22 http://archive.ubuntu.com/ubuntu bionic-updates/universe amd64 Packages [2,404 kB]\nGet:23 http://archive.ubuntu.com/ubuntu bionic-backports/universe amd64 Packages [20.6 kB]\nGet:24 http://archive.ubuntu.com/ubuntu bionic-backports/main amd64 Packages [64.0 kB]\nFetched 31.6 MB in 9s (3,613 kB/s)\nReading package lists...\n\x1b[91mE: Unable to locate package r-cran-NCmisc\n\x1b[0m'",
rdb/community-indeces,rocker/r-apt:bionic,community-indeces,662092039,renv,spm-only-binary,1,1,0m22.783s,0m0.163s,0m0.128s,1,4,0,0,0,0,2.01249098777771,33.27676177024841,-,-,
rdb/community-indeces,rapt-base,community-indeces,678790929,renv,spm-only-binary,1,1,0m15.067s,0m0.155s,0m0.126s,1,4,0,0,0,0,2.2742221355438232,28.22287607192993,-,-,
rdb/community-indeces,rapt-base,community-indeces,661951553,renv,spm-only-binary,1,0,0m2.390s,0m0.115s,0m0.092s,1,3,0,1,0,0,9.262557029724121,16.692997694015503,"there is no package called \xe2\x80\x98vegan\xe2\x80\x99\r\nRead 7 items\r\nRead 16 items\r\nError in diversity(x) : could not find function ""diversity""\r\nCalls: apply -> FUN\r\nExecution halted\r\n'",-,RUNTIME_ERROR

rdb/data-filtering,rapt-base,data-filtering,677329666,renv,smart,1,1,0m13.825s,0m0.150s,0m0.114s,1,4,1,0,0,0,10.84683609008789,36.94924020767212,-,-,
rdb/community-indeces,rapt-base,community-indeces,668000105,renv,smart,1,1,0m9.836s,0m0.134s,0m0.106s,1,4,1,0,0,0,12.841336965560913,33.05653715133667,-,-,
rdb/community-matrix,rapt-base,community-matrix,717062790,renv,smart,1,1,0m31.982s,0m0.148s,0m0.124s,2,5,1,0,0,0,13.614763021469116,55.719480991363525,-,-,
rdb/size-class,rapt-base,size-class,681029742,renv,smart,1,1,0m18.762s,0m0.122s,0m0.095s,2,5,1,0,0,0,13.722835063934326,39.25036811828613,-,-,
rdb/size-density,rapt-base,size-density,680429379,renv,smart,1,1,0m19.829s,0m0.136s,0m0.106s,2,5,1,0,0,0,14.299736976623535,41.02693796157837,-,-,
rdb/traits-computation,rapt-base,traits-computation,661960374,renv,smart,1,1,0m2.461s,0m0.109s,0m0.078s,0,3,1,0,0,0,7.745194911956787,19.967339754104614,-,-,
rdb/classify-infection,rapt-base,classify-infection,667471241,renv,smart,1,1,0m14.316s,0m0.141s,0m0.077s,1,4,1,0,0,0,15.016294956207275,33.8306450843811,-,-,
rdb/us-500,rapt-base,us-500,710664298,renv,smart,1,1,0m41.651s,0m0.150s,0m0.098s,4,7,1,0,0,0,20.987818956375122,69.05341911315918,-,-,
rdb/applied-pred-7.1,rapt-base,applied-pred-7.1,738615080,renv,smart,1,1,0m58.895s,0m0.148s,0m0.093s,4,7,1,0,0,0,20.7572238445282,100.26919507980347,-,-,
rdb/draw-flowers,rapt-base,draw-flowers,693898825,renv,smart,1,1,0m17.858s,0m0.112s,0m0.069s,1,4,1,0,0,0,11.249956846237183,35.530872106552124,-,-,
rdb/bad-passwords,rapt-base,bad-passwords,819865249,renv,smart,1,1,0m47.953s,0m0.164s,0m0.102s,1,4,1,0,0,0,11.74776291847229,69.22055888175964,-,-,
rdb/nobel,rapt-base,nobel,823836920,renv,smart,1,1,1m7.537s,0m0.170s,0m0.113s,3,6,1,0,0,0,18.877424001693726,102.12274098396301,-,-,

rdb/applied-pred-6.1,rapt-base,applied-pred-6.1,770503382,renv,smart,1,1,5m12.891s,0m0.370s,0m0.280s,6,9,1,0,0,0,27.181079149246216,455.2542700767517,-,-,
